data,moeda,preco_usd,ano,mes
2013-04-28,BTC,137.52,2013,4
2013-05-28,BTC,119.42396774193548,2013,5
2013-06-28,BTC,107.80035862068965,2013,6
2013-07-28,BTC,89.98217096774194,2013,7
2013-08-28,BTC,113.73258064516129,2013,8
2013-09-28,BTC,130.714,2013,9
2013-10-28,BTC,157.7274193548387,2013,10
2013-11-28,BTC,533.301,2013,11
2013-12-28,BTC,808.5167741935484,2013,12
2014-01-28,BTC,842.9516129032259,2014,1
2014-02-28,BTC,666.6432142857142,2014,2
2014-03-28,BTC,592.5379032258064,2014,3
2014-04-28,BTC,460.5380666666667,2014,4
2014-05-28,BTC,484.47523548387096,2014,5
2014-06-28,BTC,612.14361,2014,6
2014-07-28,BTC,615.6321500076444,2014,7
2014-08-28,BTC,534.9412273417518,2014,8
2014-09-28,BTC,442.97731333333337,2014,9
2014-10-28,BTC,361.331502253619,2014,10
2014-11-28,BTC,364.42880163627166,2014,11
2014-12-28,BTC,340.4420594421721,2014,12
2015-01-28,BTC,248.62133699771456,2015,1
2015-02-28,BTC,233.98827194856668,2015,2
2015-03-28,BTC,268.2939496365833,2015,3
2015-04-28,BTC,234.98114643799082,2015,4
2015-05-28,BTC,236.89434497091386,2015,5
2015-06-28,BTC,237.90103998089654,2015,6
2015-07-28,BTC,278.72073872232676,2015,7
2015-08-28,BTC,251.48998692379647,2015,8
2015-09-28,BTC,233.4377965214629,2015,9
2015-10-28,BTC,265.03092751853615,2015,10
2015-11-28,BTC,347.92271999999997,2015,11
2015-12-28,BTC,424.5273870967742,2015,12
2016-01-28,BTC,410.816170967742,2016,1
2016-02-28,BTC,403.20389655172414,2016,2
2016-03-28,BTC,414.8698387096774,2016,3
2016-04-28,BTC,434.2048666666667,2016,4
2016-05-28,BTC,461.9752258064516,2016,5
2016-06-28,BTC,642.125542229736,2016,6
2016-07-28,BTC,661.8538654850242,2016,7
2016-08-28,BTC,577.688033357651,2016,8
2016-09-28,BTC,604.7146045178117,2016,9
2016-10-28,BTC,641.1230746050722,2016,10
2016-11-28,BTC,724.3468902622135,2016,11
2016-12-28,BTC,824.6431416089134,2016,12
2017-01-28,BTC,910.3463943533917,2017,1
2017-02-28,BTC,1064.5357128761211,2017,2
2017-03-28,BTC,1129.982508925163,2017,3
2017-04-28,BTC,1217.1546531507236,2017,4
2017-05-28,BTC,1880.6084870967743,2017,5
2017-06-28,BTC,2653.764180778026,2017,6
2017-07-28,BTC,2514.096534111341,2017,7
2017-08-28,BTC,3803.6508585602483,2017,8
2017-09-28,BTC,4051.9303820030063,2017,9
2017-10-28,BTC,5335.315072568365,2017,10
2017-11-28,BTC,7829.242708462563,2017,11
2017-12-28,BTC,15576.174009863029,2017,12
2018-01-28,BTC,13446.151589777297,2018,1
2018-02-28,BTC,9399.274259571272,2018,2
2018-03-28,BTC,9141.766464665143,2018,3
2018-04-28,BTC,7917.109074145067,2018,4
2018-05-28,BTC,8454.154228014308,2018,5
2018-06-28,BTC,6786.52430968524,2018,6
2018-07-28,BTC,7070.579081512246,2018,7
2018-08-28,BTC,6701.274601878541,2018,8
2018-09-28,BTC,6611.288494658302,2018,9
2018-10-28,BTC,6503.431572097321,2018,10
2018-11-28,BTC,5501.286535461351,2018,11
2018-12-28,BTC,3684.0550370597343,2018,12
2019-01-28,BTC,3661.377844039735,2019,1
2019-02-28,BTC,3675.874108764173,2019,2
2019-03-28,BTC,3930.1478055575126,2019,3
2019-04-28,BTC,5118.40377524764,2019,4
2019-05-28,BTC,7191.559089268884,2019,5
2019-06-28,BTC,9333.91601150218,2019,6
2019-07-28,BTC,10698.367555843952,2019,7
2019-08-28,BTC,10646.743263944125,2019,8
2019-09-28,BTC,9838.894285189073,2019,9
2019-10-28,BTC,8348.787893962626,2019,10
2019-11-28,BTC,8391.820301410371,2019,11
2019-12-28,BTC,7260.18574622032,2019,12
2020-01-28,BTC,8297.873269513788,2020,1
2020-02-28,BTC,9661.30680463542,2020,2
2020-03-28,BTC,6951.95301129559,2020,3
2020-04-28,BTC,7134.565377461739,2020,4
2020-05-28,BTC,9221.57283038268,2020,5
2020-06-28,BTC,9492.753813578056,2020,6
2020-07-28,BTC,9518.782679901477,2020,7
2020-08-28,BTC,11630.115178920976,2020,8
2020-09-28,BTC,10673.321498967352,2020,9
2020-10-28,BTC,11787.007625304124,2020,10
2020-11-28,BTC,16454.541288702465,2020,11
2020-12-28,BTC,21698.23643221539,2020,12
2021-01-28,BTC,34634.24310969527,2021,1
2021-02-28,BTC,45897.94904982026,2021,2
2021-03-28,BTC,54532.80524870421,2021,3
2021-04-28,BTC,57148.23715053179,2021,4
2021-05-28,BTC,47187.714790205704,2021,5
2021-06-28,BTC,35973.744469242396,2021,6
2021-07-28,BTC,34271.52813871139,2021,7
2021-08-28,BTC,45563.6735255675,2021,8
2021-09-28,BTC,46085.361451894605,2021,9
2021-10-28,BTC,57485.34348063382,2021,10
2021-11-28,BTC,60984.68847964431,2021,11
2021-12-28,BTC,49722.381007831485,2021,12
2022-01-28,BTC,41413.91580726949,2022,1
2022-02-28,BTC,40648.22165632696,2022,2
2022-03-28,BTC,41897.67000621025,2022,3
2022-04-28,BTC,41716.10571715787,2022,4
2022-05-28,BTC,31945.262298936104,2022,5
2022-06-28,BTC,24801.550994146888,2022,6
2022-07-28,BTC,21431.69954994507,2022,7
2022-08-28,BTC,22493.909612659092,2022,8
2022-09-28,BTC,19820.503938870683,2022,9
2022-10-28,BTC,19614.28474983723,2022,10
2022-11-28,BTC,17712.67869374348,2022,11
2022-12-28,BTC,16966.382112325467,2022,12
2023-01-28,BTC,20044.788879919153,2023,1
2023-02-28,BTC,23308.15061444375,2023,2
2023-03-28,BTC,24986.55402819354,2023,3
2023-04-28,BTC,28833.24928947539,2023,4
2023-05-28,BTC,27572.75180546727,2023,5
2023-06-28,BTC,27657.394154036556,2023,6
2023-07-28,BTC,30090.07957460349,2023,7
2023-08-28,BTC,27950.695465212124,2023,8
2023-09-28,BTC,26267.484927346322,2023,9
2023-10-28,BTC,29503.236965590902,2023,10
2023-11-28,BTC,36510.04472803711,2023,11
2023-12-28,BTC,42406.689796405,2023,12
2024-01-28,BTC,42900.73695831616,2024,1
2024-02-28,BTC,49232.51961805317,2024,2
2024-03-28,BTC,67410.81873208864,2024,3
2024-04-28,BTC,66275.69509976043,2024,4
2024-05-28,BTC,65055.81549180553,2024,5
2024-06-28,BTC,66053.75856626955,2024,6
2024-07-28,BTC,62761.60804689705,2024,7
2024-08-28,BTC,60107.96853052593,2024,8
2024-09-28,BTC,60210.02872389904,2024,9
2024-10-28,BTC,65360.04001652121,2024,10
2024-11-28,BTC,85687.3601419989,2024,11
2024-12-28,BTC,98380.90778199892,2024,12
2025-01-28,BTC,99696.06252905859,2025,1
2025-02-28,BTC,95922.84913565071,2025,2
2025-03-28,BTC,85158.74378752633,2025,3
2025-04-28,BTC,86068.12520336392,2025,4
2025-05-28,BTC,103284.77061411348,2025,5
2025-06-28,BTC,105714.03237053214,2025,6
2025-07-28,BTC,115067.70320220456,2025,7
2025-08-28,BTC,115082.6039365858,2025,8
2025-09-28,BTC,112961.94299270981,2025,9
2025-10-28,BTC,114559.91665838343,2025,10
